iter	Passed	Remaining
382	2402	3870
383	2410	3867
384	2421	3868
385	2430	3865
386	2440	3865
387	2450	3864
388	2457	3859
389	2466	3857
390	2476	3856
391	2484	3854
392	2494	3853
393	2503	3851
394	2511	3846
395	2520	3843
396	2530	3843
397	2540	3842
398	2551	3842
399	2558	3837
400	2565	3832
401	2574	3829
402	2584	3828
403	2592	3824
404	2601	3821
405	2609	3817
406	2617	3813
407	2625	3809
408	2634	3807
409	2644	3806
410	2653	3802
411	2664	3802
412	2672	3798
413	2681	3795
414	2690	3793
415	2698	3788
416	2707	3785
417	2717	3784
418	2723	3776
419	2733	3774
420	2741	3770
421	2751	3768
422	2760	3764
423	2768	3761
424	2778	3759
425	2788	3757
426	2797	3754
427	2805	3749
428	2816	3748
429	2826	3746
430	2836	3744
431	2846	3742
432	2855	3739
433	2866	3738
434	2875	3734
435	2885	3732
436	2895	3729
437	2903	3725
438	2914	3724
439	2921	3718
440	2930	3714
441	2940	3712
442	2948	3706
443	2956	3702
444	2965	3698
445	2975	3695
446	2983	3691
447	2993	3688
448	3001	3683
449	3009	3678
450	3017	3673
451	3027	3670
452	3034	3664
453	3043	3660
454	3053	3657
455	3062	3652
456	3069	3646
457	3076	3641
458	3085	3636
459	3095	3633
460	3102	3628
461	3113	3626
462	3122	3621
463	3132	3618
464	3142	3615
465	3152	3612
466	3162	3609
467	3172	3606
468	3182	3603
469	3193	3600
470	3203	3597
471	3213	3594
472	3222	3590
473	3231	3586
474	3241	3582
475	3249	3577
476	3258	3573
477	3267	3568
478	3275	3563
479	3283	3557
480	3293	3553
481	3303	3550
482	3311	3544
483	3322	3542
484	3332	3538
485	3342	3534
486	3349	3528
487	3359	3524
488	3368	3519
489	3378	3516
490	3387	3511
491	3396	3506
492	3405	3501
493	3415	3498
494	3424	3493
495	3431	3487
496	3441	3483
497	3450	3478
498	3457	3471
499	3465	3465
500	3475	3461
501	3483	3455
502	3491	3450
503	3500	3444
504	3510	3440
505	3517	3434
506	3527	3429
507	3535	3424
508	3544	3419
509	3551	3412
510	3560	3407
511	3570	3403
512	3580	3399
513	3591	3395
514	3601	3391
515	3611	3387
516	3620	3382
517	3628	3376
518	3638	3371
519	3647	3366
520	3656	3361
521	3665	3356
522	3671	3348
523	3679	3342
524	3687	3336
525	3695	3330
526	3705	3325
527	3714	3320
528	3722	3314
529	3731	3309
530	3740	3303
531	3748	3297
532	3758	3293
533	3767	3287
534	3776	3281
535	3786	3277
536	3794	3271
537	3802	3265
538	3809	3258
539	3819	3253
540	3828	3248
541	3838	3243
542	3847	3237
543	3855	3232
544	3866	3227
545	3873	3221
546	3883	3215
547	3893	3211
548	3902	3206
549	3911	3200
550	3921	3195
551	3930	3189
552	3939	3184
553	3948	3178
554	3956	3172
555	3964	3165
556	3973	3160
557	3984	3156
558	3994	3151
559	4003	3145
560	4011	3138
561	4019	3132
562	4028	3126
563	4035	3119
564	4042	3112
565	4049	3104
566	4058	3099
567	4066	3092
568	4073	3085
569	4080	3078
570	4089	3072
571	4096	3065
572	4105	3059
573	4114	3053
574	4123	3047
575	4132	3041
576	4140	3035
577	4150	3030
578	4157	3023
579	4167	3017
580	4177	3012
581	4185	3006
582	4192	2998
583	4200	2992
584	4208	2985
585	4216	2979
586	4225	2972
587	4232	2965
588	4239	2958
589	4249	2952
590	4256	2945
591	4264	2939
592	4272	2932
593	4279	2925
594	4288	2919
595	4298	2913
596	4307	2907
597	4316	2901
598	4325	2895
599	4333	2889
600	4340	2881
601	4349	2875
602	4359	2870
603	4369	2864
604	4379	2859
605	4390	2854
606	4399	2848
607	4409	2842
608	4418	2836
609	4428	2831
610	4438	2825
611	4449	2820
612	4459	2815
613	4470	2810
614	4480	2805
615	4491	2799
616	4500	2793
617	4508	2787
618	4518	2781
619	4526	2774
620	4535	2768
621	4544	2761
622	4555	2756
623	4563	2749
624	4573	2744
625	4581	2737
626	4591	2731
627	4599	2724
628	4609	2718
629	4617	2712
630	4628	2706
631	4635	2699
632	4643	2692
633	4654	2686
634	4662	2679
635	4672	2674
636	4683	2668
637	4691	2662
638	4701	2656
639	4711	2650
640	4720	2643
641	4729	2637
642	4737	2630
643	4746	2623
644	4754	2616
645	4761	2609
646	4768	2601
647	4777	2594
648	4783	2587
649	4789	2579
650	4797	2571
651	4805	2564
652	4813	2557
653	4821	2550
654	4830	2544
655	4837	2536
656	4844	2529
657	4852	2522
658	4861	2515
659	4871	2509
660	4881	2503
661	4890	2496
662	4897	2489
663	4905	2482
664	4912	2474
665	4918	2466
666	4926	2459
667	4934	2452
668	4941	2445
669	4948	2437
670	4953	2428
671	4958	2420
672	4963	2411
673	4967	2402
674	4972	2394
675	4978	2386
676	4983	2377
677	4989	2369
678	4994	2361
679	4998	2352
680	5002	2343
681	5006	2334
682	5010	2325
683	5015	2316
684	5019	2308
685	5023	2299
686	5028	2290
687	5032	2282
688	5036	2273
689	5041	2264
690	5045	2256
691	5049	2247
692	5053	2238
693	5057	2229
694	5061	2221
695	5065	2212
696	5070	2204
697	5074	2195
698	5078	2186
699	5082	2178
700	5086	2169
701	5091	2161
702	5096	2153
703	5102	2145
704	5107	2137
705	5113	2129
706	5119	2121
707	5126	2114
708	5134	2107
709	5141	2100
710	5149	2093
711	5156	2085
712	5165	2079
713	5172	2071
714	5178	2064
715	5186	2057
716	5194	2050
717	5201	2042
718	5209	2035
719	5217	2028
720	5225	2021
721	5233	2015
722	5241	2008
723	5250	2001
724	5256	1993
725	5263	1986
726	5271	1979
727	5279	1972
728	5286	1965
729	5293	1957
730	5299	1950
731	5306	1942
732	5312	1935
733	5320	1928
734	5327	1920
735	5336	1914
736	5344	1907
737	5352	1900
738	5360	1893
739	5368	1886
740	5375	1878
741	5381	1871
742	5388	1863
743	5395	1856
744	5403	1849
745	5409	1841
746	5416	1834
747	5423	1827
748	5430	1819
749	5438	1812
750	5445	1805
751	5452	1798
752	5460	1791
753	5468	1784
754	5476	1777
755	5484	1770
756	5491	1762
757	5501	1756
758	5510	1749
759	5518	1742
760	5529	1736
761	5537	1729
762	5546	1722
763	5556	1716
764	5564	1709
765	5573	1702
766	5580	1695
767	5590	1688
768	5600	1682
769	5607	1674
770	5614	1667
771	5621	1660
772	5627	1652
773	5634	1645
774	5641	1637
775	5648	1630
776	5655	1623
777	5662	1615
778	5669	1608
779	5676	1601
780	5683	1593
781	5690	1586
782	5697	1578
783	5705	1571
784	5714	1565
785	5725	1558
786	5735	1552
787	5744	1545
788	5755	1539
789	5764	1532
790	5774	1525
791	5784	1519
792	5793	1512
793	5802	1505
794	5810	1498
795	5819	1491
796	5828	1484
797	5837	1477
798	5844	1470
799	5853	1463
800	5861	1456
801	5870	1449
802	5878	1442
803	5887	1435
804	5897	1428
805	5906	1421
806	5914	1414
807	5925	1407
808	5931	1400
809	5941	1393
810	5951	1387
811	5962	1380
812	5972	1373
813	5982	1366
814	5991	1359
815	5998	1352
816	6004	1344
817	6011	1337
818	6016	1329
819	6021	1321
820	6026	1313
821	6031	1306
822	6036	1298
823	6040	1290
824	6044	1282
825	6048	1274
826	6053	1266
827	6057	1258
828	6062	1250
829	6066	1242
830	6071	1234
831	6075	1226
832	6079	1218
833	6084	1210
834	6088	1203
835	6092	1195
836	6096	1187
837	6100	1179
838	6104	1171
839	6109	1163
840	6113	1155
841	6117	1148
842	6121	1140
843	6126	1132
844	6132	1124
845	6136	1117
846	6141	1109
847	6145	1101
848	6149	1093
849	6153	1085
850	6158	1078
851	6162	1070
852	6166	1062
853	6171	1055
854	6175	1047
855	6179	1039
856	6183	1031
857	6187	1024
858	6191	1016
859	6195	1008
860	6199	1000
861	6203	993
862	6208	985
863	6212	977
864	6219	970
865	6225	963
866	6229	955
867	6233	947
868	6237	940
869	6241	932
870	6245	925
871	6250	917
872	6254	909
873	6259	902
874	6263	894
875	6267	887
876	6271	879
877	6276	872
878	6280	864
879	6284	856
880	6288	849
881	6292	841
882	6297	834
883	6302	826
884	6306	819
885	6310	811
886	6314	804
887	6318	796
888	6323	789
889	6328	782
890	6332	774
891	6336	767
892	6340	759
893	6345	752
894	6350	744
895	6354	737
896	6359	730
897	6363	722
898	6368	715
899	6372	708
900	6377	700
901	6381	693
902	6386	685
903	6390	678
904	6394	671
905	6397	663
906	6401	656
907	6406	649
908	6410	641
909	6414	634
910	6418	627
911	6423	619
912	6428	612
913	6432	605
914	6436	597
915	6440	590
916	6444	583
917	6448	576
918	6453	568
919	6457	561
920	6461	554
921	6464	546
922	6468	539
923	6472	532
924	6476	525
925	6480	517
926	6484	510
927	6488	503
928	6492	496
929	6497	489
930	6501	481
931	6505	474
932	6510	467
933	6514	460
934	6519	453
935	6524	446
936	6528	438
937	6534	431
938	6539	424
939	6545	417
940	6550	410
941	6556	403
942	6563	396
943	6568	389
944	6574	382
945	6580	375
946	6586	368
947	6593	361
948	6600	354
949	6607	347
950	6614	340
951	6622	333
952	6629	326
953	6637	320
954	6645	313
955	6652	306
956	6660	299
957	6666	292
958	6674	285
959	6682	278
960	6688	271
961	6694	264
962	6700	257
963	6705	250
964	6711	243
965	6716	236
966	6724	229
967	6729	222
968	6734	215
969	6739	208
970	6744	201
971	6750	194
972	6755	187
973	6760	180
974	6764	173
975	6770	166
976	6775	159
977	6780	152
978	6786	145
979	6792	138
980	6798	131
981	6803	124
982	6808	117
983	6814	110
984	6821	103
985	6826	96
986	6832	89
987	6839	83
988	6847	76
989	6854	69
990	6861	62
991	6869	55
992	6876	48
993	6883	41
994	6893	34
995	6902	27
996	6911	20
997	6920	13
998	6930	6
999	6942	0
